Symbol,Underlying Assets and Securities,Security Name,Date of Listing,Market NIFTY,ISIN Number,Face Value,,,
ICICITECH,NIFTY IT Index,ICICIPRAMC - ICICITECH,20-Aug-2020,1,INF109KC1N67,10,,,
HBANKETF,NIFTY Bank Index,HDFCAMC - HBANKETF,28-Aug-2020,1,INF179KC1AN8,223.31,,,
UTIBANKETF,NIFTY Bank Index,UTIAMC - UTIBANKETF,3-Sep-2020,1,INF789F1AUV1,1,,,
SBIETFIT,NIFTY IT Index,SBIAMC - SBIETFIT,22-NIFTY-2020,1,INF200KA1S14,10,,,
SBIETFPB,NIFTY Private Bank Index,SBIAMC - SBIETFPB,22-NIFTY-2020,1,INF200KA1S22,10,,,
AXISBNKETF,NIFTY Bank,AXISAMC - AXISBNKETF,9-NIFTY-2020,1,INF846K01X63,100,,,
NCPSESDL24,NIFTY CPSE Bond Plus SDL Sep 2024 50:50 Index,NIPPON INDIA- NIMFXX,18-NIFTY-2020,1,INF204KB18W4,10,,,
MAESGETF,Nifty100 ESG Sector Leaders Total Return Index,MIRAEAMC - MAESGETF,24-NIFTY-2020,1,INF769K01GS9,17.5,,,
MOGSEC,NIFTY 5 yr Benchmark G-Sec Index,MOTILALAMC - G5,16-Dec-2020,1,INF247L01AK4,10,,,
KOTAKIT,NIFTY IT Index,KOTAKMAMC - KOTAKIT,5-Mar-2021,1,INF174KA1GC5,10,,,
AXISTECETF,NIFTY IT Index,AXISAMC - AXISTECETF,31-Mar-2021,1,INF846K01Y96,100,,,
NETFSDL26,NIFTY SDL Apr 2026 Top 20 Equal Weight Index,RELCAPAMC-NETFSDL26,31-Mar-2021,1,INF204KC1022,10,,,
NETFGILT5Y,NIFTY 5 yr Benchmark G-Sec Index,RELCAPAMC - NETFGILT5Y,8-Apr-2021,1,INF204KC1030,10,,,
MAFANG,NYSE FANG+ Total Return Index,MIRAEAMC - MAFANG,14-NIFTY-2021,1,INF769K01HF4,40,,,
AXISBPSETF,NIFTY AAA Bond Plus SDL Apr 2026 50:50 Index,AXISAMC - AXISBPSETF,18-NIFTY-2021,1,INF846K01Z04,1,,,
AXISHCETF,NIFTY Healthcare Index,AXISAMC - AXISHCETF,21-NIFTY-2021,1,INF846K01Z12,10,,,
ICICIPHARM,NIFTY Healthcare Index,ICICIPRAMC - ICICIPHARM,25-NIFTY-2021,1,INF109KC1Q72,10,,,
NETFPHARMA,NIFTY Pharma Index,NIPPONAMC - NETFPHARMA,7-Jul-2021,1,INF204KC1089,10,,,
SBIETFCON,NIFTY India Consumption Index,SBIAMC - SBIETFCON,29-Jul-2021,1,INF200KA1X17,10,,,
MAFSETF,NIFTY Financial Services Index,MIRAEAMC - MAFSETF,5-Aug-2021,1,INF769K01HI8,10,,,
ICICIFMCG,NIFTY FMCG Index,ICICIPRAMC - ICICIFMCG,10-Aug-2021,1,INF109KC1R48,10,,,
AXISCETF,NIFTY India Consumption Index,AXISAMC - AXISCETF,23-Sep-2021,1,INF846K016C7,10,,,
MASPTOP50,,S&P 500 Top 50 Total Return Index,MIRAEAMC - MASPTOP50,24-Sep-2021,1,INF769K01HP3,20,,
BSLSENETFG,BSE SENSEX Index,BIRLASLAMC - BSLSENETFG,6-NIFTY-2021,1,INF209KB1119,10,,,
HEALTHY,NIFTY Healthcare TRI Index,BIRLASLAMC - HEALTHY,28-NIFTY-2021,1,INF209KB10C2,1,,,
ICICICONSU,NIFTY India Consumption Index,ICICIPRAMC - ICICICONSU,2-NIFTY-2021,1,INF109KC1V42,10,,,
TECH,NIFTY IT TRI Index,BIRLASLAMC - TECH,3-NIFTY-2021,1,INF209KB11D8,1,,,
DSPNEWETF,NIFTY 50 Equal Weight Index,DSPAMC - DSPNEWETF,12-NIFTY-2021,1,INF740KA1QK2,10,,,
MAHKTECH,Hang Seng TECH Total Return Index,MIRAEAMC - MAHKTECH,10-Dec-2021,1,INF769K01HS7,10,,,
BBETF0432,NIFTY BHARAT Bond Index - April 2032,EDELAMC - BBETF0432,17-Dec-2021,1,INF754K01OB1,1000,,,
KOTAKALPHA,NIFTY Alpha 50 Index,KOTAKMAMC - KOTAKALPHA,29-Dec-2021,1,INF174KA1IA5,10,,,
MONQ50,Nasdaq Q-50 Total Return Index,MOTILALAMC - MONQ50,29-Dec-2021,1,INF247L01AU3,10,,,
DSPN50ETF,NIFTY 50 Index,DSPAMC - DSPN50ETF,30-Dec-2021,1,INF740KA1CL0,10,,,
DSPQ50ETF,NIFTY Midcap 150 Quality 50 Index,DSPAMC - DSPQ50ETF,30-Dec-2021,1,INF740KA1QL0,10,,,
ICICIAUTO,NIFTY Auto Index,ICICIPRAMC - ICICIAUTO,18-Jan-2022,1,INF109KC1Y49,10,,,
NETFAUTO,NIFTY Auto Index,NIPPONAMC - NETFAUTO,25-Jan-2022,1,INF204KC1337,10,,,
